simulation_time,risk_level,vehicle_1,vehicle_2,action,priority_vehicle_id,yielding_vehicle_id,reservation_queue,conflict_group_vehicle_ids,predicted_arrival_time_s,conflict_zone_vehicle_ids,target_speed_mps,release_reason,note
45.90,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
46.00,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
46.00,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
46.10,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
46.10,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,44.60,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
47.70,,,,WAIT_AT_STOP_ZONE,targeted_vehicle_004,targeted_vehicle_006,targeted_vehicle_004;targeted_vehicle_006,targeted_vehicle_004;targeted_vehicle_006,56.20,targeted_vehicle_004,,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: normal_approach_until_near_entry entry_distance_m=111.7.
48.10,HIGH,targeted_vehicle_004,targeted_vehicle_005,RELEASE_NEXT_VEHICLE,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_004,targeted_vehicle_006,,,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
48.10,,,,RELEASE_NEXT_VEHICLE,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006,56.20,,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
48.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007,52.44,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=47.1 remaining_to_hold_m=34.6 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
49.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007,54.21,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=35.9 remaining_to_hold_m=23.4 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
50.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_008;targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,56.14,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=73.9 remaining_to_hold_m=61.4 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=5.00 duration_s=2.38.
50.60,,,,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_008;targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,58.35,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=29.3 remaining_to_hold_m=16.8 speed_mps=4.58 target_speed_mps=2.00 decel_mps2=5.00 duration_s=0.52.
51.00,,,,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_008;targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,59.11,,2.00,reserved_priority_approaching,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=62.7 remaining_to_hold_m=50.2 speed_mps=9.13 target_speed_mps=2.00 decel_mps2=5.00 duration_s=1.43.
53.90,HIGH,targeted_vehicle_006,targeted_vehicle_007,SKIP_ALREADY_IN_CONFLICT_ZONE,targeted_vehicle_006,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,54.00,targeted_vehicle_007,,already_inside_conflict_zone,Vehicle already crossed into boundary; priority cleared to maintain throughput safely.
53.90,,,,SLOW_NEAR_ENTRY,targeted_vehicle_006,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,56.74,targeted_vehicle_007,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=28.1 remaining_to_hold_m=15.6 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=6.07 duration_s=1.96.
54.80,HIGH,targeted_vehicle_006,targeted_vehicle_007,RELEASE_NEXT_VEHICLE,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,56.00,targeted_vehicle_007,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
54.80,HIGH,targeted_vehicle_006,targeted_vehicle_007,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,54.00,targeted_vehicle_007,,fcfs_priority_assigned,Released priority vehicle matching earliest expected arrival time.
54.80,HIGH,targeted_vehicle_006,targeted_vehicle_007,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_006,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,56.00,targeted_vehicle_007,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=13.1 remaining_to_hold_m=0.6 speed_mps=13.89 target_speed_mps=2.00 decel_mps2=9.00 duration_s=1.32.
54.90,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,58.44,targeted_vehicle_007,2.00,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: smooth_deceleration_to_entry entry_distance_m=17.4 remaining_to_hold_m=4.9 speed_mps=8.12 target_speed_mps=2.00 decel_mps2=6.37 duration_s=0.96.
55.20,HIGH,targeted_vehicle_006,targeted_vehicle_007,SKIP_ALREADY_IN_CONFLICT_ZONE,targeted_vehicle_007,targeted_vehicle_006,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,56.00,targeted_vehicle_006;targeted_vehicle_007,,already_inside_conflict_zone,Vehicle already crossed into boundary; priority cleared to maintain throughput safely.
55.90,,,,SLOW_NEAR_ENTRY,targeted_vehicle_007,targeted_vehicle_008,targeted_vehicle_007;targeted_vehicle_006;targeted_vehicle_008,targeted_vehicle_006;targeted_vehicle_007;targeted_vehicle_008,64.37,targeted_vehicle_006;targeted_vehicle_007,0.30,conflict_zone_occupied,Vehicle held at stop line for target-junction reservation: final_brake_before_guard entry_distance_m=12.3 hold_distance_m=12.5 speed_mps=2.79 target_speed_mps=0.30 duration_s=0.40.
56.20,HIGH,targeted_vehicle_006,targeted_vehicle_007,RELEASE_NEXT_VEHICLE,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_007,targeted_vehicle_006;targeted_vehicle_008,,targeted_vehicle_006,,priority_cleared_clear_zone,Priority vehicle cleared the target conflict/clear zone.
